zip,Mean income (dollars)
05483,85804
05485,52450
05486,102415
05487,70698
05488,90643
05489,103464
05491,72064
05492,70623
05494,101759
05495,93540
05602,73771
05640,68298
05641,65880
05647,66610
05648,91181
05649,76839
05650,61991
05651,67618
05652,62018
05653,68363
05654,51949
05655,61633
05656,49015
05657,87334
05658,56599
05660,89044
05661,69338
05663,76410
05664,N
05667,64012
05669,64370
05672,87377
05673,82188
05674,88486
05675,60793
05676,84447
05677,89681
05678,45145
05679,61708
05680,65109
05681,84494
05682,65572
05701,63970
05730,59621
05732,60132
05733,67022
05734,66901
05735,68492
05736,101113
05737,73687
05738,79134
05739,69111
05740,-
05742,80180
05743,58515
05744,52330
05747,53197
05748,48382
05751,63141
05753,70350
05757,62935
05758,69552
05759,56996
05760,61163
05761,63516
05762,56236
05763,72443
05764,54079
05765,66427
05766,63395
05767,61146
05769,62665
05770,70793
05772,67528
05773,62602
05774,58315
05775,36789
05776,65031
05777,65572
05778,57897
05819,62270
05820,45432
05821,70663
05822,52070
05824,56198
05825,51996
05826,61669
05827,46800
05828,73313
05829,52410
05830,64192
05832,66490
05833,47152
05836,58903
05837,46056
05839,54813
05841,78771
05842,55403
05843,63535
05845,54668
05846,41792
05847,58021
05850,N
05851,54168
05853,68426
05855,61907
05857,60415
05858,58275
05859,54624
05860,53223
05862,60968
05866,55955
05867,58081
05868,64921
05871,52337
05872,55740
05873,66682
05874,79035
05875,85061
05901,5020
05902,46646
05903,54546
05904,33316
05905,59213
05906,45632
05907,47407
06001,173292
06002,97077
06010,82231
06013,137487
06016,94028
06018,75392
06019,116391
06020,-
06021,83474
06022,N
06023,108966
06024,62685
06026,101628
06027,103350
06029,103879
06031,95352
06032,142692
06033,143046
06035,129663
06037,116898
06039,104157
06040,78555
06042,83419
06043,114441
06051,47131
06052,83111
06053,66298
06057,110680
06058,89552
06059,-
06060,127854
06061,32796
06062,79716
06063,111172
06065,108218
06066,77910
06067,102278
06068,68207
06069,124552
06070,144795
06071,105553
06073,204039
06074,128927
06076,82983
06078,130965
06081,80949
06082,81496
06084,131480
06085,124939
06088,70778
06089,141971
06090,152586
06091,75931
06092,180771
06093,122338
06095,96042
06096,89626
06098,73138
06103,99902
06105,60851
06106,48437
06107,151726
06108,59443
06109,101659
06110,85337
06111,90704
06112,50150
06114,50466
06117,188971
06118,68680
06119,110523
06120,36205
06160,-
06226,42244
06231,120529
06232,107448
06234,84283
06235,91294
06237,106567
06238,102993
06239,64567
06241,81391
06242,92462
06243,-
06247,82224
06248,130105
06249,89851
06250,94715
06254,103711
06255,73424
06256,55777
06259,101907
06260,66164
06262,75628
06263,67549
06264,46400
06266,57911
06268,73505
06269,-
06277,95957
06278,89763
06279,93984
06280,62320
06281,97375
06282,62640
06320,54179
06330,82834
06331,84214
06332,114374
06333,131809
06334,85629
06335,94754
06336,116163
06339,100143
06340,76479
06350,44157
06351,86957
06353,N
06354,77649
06355,116951
06357,94652
06359,83854
06360,65834
06365,82258
06370,93250
06371,111978
06373,68465
06374,77098
06375,95559
06376,96746
06377,81778
06378,110628
06379,80739
06380,68601
06382,73029
06384,84593
06385,100152
06387,43082
06389,N
06390,110973
06401,68679
06403,102365
06405,99058
06409,101201
06410,131994
06412,100260
06413,90279
06414,94713
06415,112629
06416,113145
06417,89793
06418,72058
06419,121308
06420,122594
06422,160206
06423,108316
06424,104467
06426,116013
06437,132357
06438,107788
06441,122165
06442,109724
06443,148128
06444,121846
06447,122693
06450,73146
06451,73521
06455,122459
06456,112381
06457,87347
06460,100861
06461,113094
06467,91490
06468,151950
06469,96075
06470,151389
06471,120109
06472,94621
06473,113877
06475,105288
06477,148684
06478,111409
06479,102097
06480,117295
06481,114627
06482,137323
06483,98520
06484,112254
06488,121379
06489,110991
06492,94440
06498,139142
06510,81847
06511,64949
06512,80704
06513,56682
06514,83886
06515,77344
06516,68666
06517,104802
06518,99959
06519,46397
06524,128589
06525,161409
06604,61584
06605,61844
06606,72919
06607,46781
06608,44516
06610,57994
06611,141939
06612,177290
06614,97328
06615,73569
06702,34819
06704,51209
06705,58817
06706,56725
06708,70221
06710,52378
06712,111234
06716,94738
06750,86376
06751,109820
06752,142925
06754,105429
06755,128303
06756,95788
06757,86647
06758,109858
06759,116013
06762,125094
06763,130630
06770,86828
06776,95141
06777,97597
06778,93737
06779,74769
06782,101684
06783,189918
06784,173349
06785,85499
06786,79693
06787,79972
06790,72394
06791,118015
06793,161024
06794,113557
06795,119654
06796,99356
06798,105473
06801,113356
06804,131625
06807,198142
06810,75906
06811,108431
06812,125102
06820,322933
06824,198582
06825,138570
06830,224394
06831,247849
06840,313926
06850,114402
06851,122306
06853,270419
06854,91770
06855,113804
06856,-
06870,323834
06877,215865
06878,287861
06880,272905
06883,269682
06890,238400
06896,161023
06897,247388
06901,109769
06902,109098
06903,250300
06905,147469
06906,97988
06907,118800
07001,85608
07002,76295
07003,93938
07004,128046
07005,134358
07006,153412
07008,75096
07009,138345
07010,93515
07011,72220
07012,104266
07013,106971
07014,105669
07016,139586
07017,57397
07018,56246
07020,138483
07021,229947
07022,73198
07023,147070
07024,108759
07026,71460
07027,106720
07028,233851
07029,74882
07030,168204
07031,97880
07032,76461
07033,134999
07034,94849
07035,97286
07036,75102
07039,191893
07040,159042
07041,150701
07042,142597
07043,246731
07044,141300
07045,203041
07046,253138
07047,76657
07050,53573
07052,130492
07054,110416
07055,58437
07057,76548
07058,146231
07059,204797
07060,75080
07062,82100
07063,78264
07064,82981
07065,85159
07066,113014
07067,113248
07068,146839
07069,191915
07070,116343
07071,93918
07072,102021
07073,97948
07074,79837
07075,112806
07076,154890
07077,101509
07078,329456
07079,159788
07080,108571
07081,129320
07082,157936
07083,97743
07086,133002
07087,59968
07088,68562
07090,202580
07092,174821
07093,77056
07094,121364
07095,95621
07102,45834
07103,46000
07104,50575
07105,57011
07106,51816
07107,50385
07108,45279
07109,77143
07110,110347
07111,51335
07112,54341
07114,47221
07201,53040
07202,57237
07203,68362
07204,85574
07205,75036
07206,55728
07208,60736
07302,150528
07304,67214
07305,72174
07306,71529
07307,80399
07310,167853
07311,254895
07401,206683
07403,90540
07405,139751
07407,88132
07410,120709
07416,71753
07417,221970
07418,117069
07419,98781
07420,90923
07421,105021
07422,89316
07423,204941
07424,97648
07430,132416
07432,116433
07435,155435
07436,134224
07438,116215
07439,101487
07440,107620
07442,102645
07444,132028
07446,169290
07450,216240
07452,211987
07456,133215
07457,110241
07458,272297
07460,101915
07461,96357
07462,91557
07463,134703
07465,111302
07470,140495
07480,117067
07481,193699
07495,-
07501,48338
07502,78788
07503,54731
07504,70066
07505,62350
07506,102808
07508,98117
07512,111418
07513,55827
07514,58666
07522,49122
07524,61847
07601,78038
07603,90485
07604,106923
07605,124457
07606,89773
07607,108489
07608,57188
07620,199491
07621,105449
07624,155589
07626,175021
07627,198801
07628,115427
07630,119184
07631,120783
07632,181979
07640,152753
07641,181241
07642,137421
07643,88427
07644,73533
07645,158223
07646,103017
07647,113138
07648,175114
07649,188563
07650,82931
07652,146229
07656,135545
07657,91921
07660,87173
07661,134603
07662,99663
07663,110618
07666,132491
07670,215787
07675,157494
07676,143887
07677,211307
07701,112433
07702,143413
07703,-
07704,199639
07711,164267
07712,82961
07716,123772
07717,137351
07718,102055
07719,105344
07720,87100
07721,80942
07722,199906
07723,141943
07724,98855
07726,142979
07727,114986
07728,117290
07730,106117
07731,109402
07732,82061
07733,201484
07734,81355
07735,81424
07737,103643
07738,158121
07739,197806
07740,76250
07746,182016
07747,117697
07748,140421
07750,156086
07751,177899
07753,81637
07755,108135
07756,89733
07757,130625
07758,110781
07760,230265
07762,95939
07764,109289
07801,84089
07803,99578
07820,N
07821,118352
07822,79877
07823,76027
07825,106118
07826,96128
07827,74164
07828,99186
07830,157181
07832,103119
07833,66215
07834,138238
07836,148387
07838,100130
07840,98447
07842,104316
07843,95805
07846,153647
07847,99388
07848,125548
07849,111608
07850,99329
07851,68267
07852,126041
07853,168034
07856,123328
07857,76067
07860,94964
07863,88478
07865,97986
07866,114190
07869,159205
07870,-
07871,161676
07874,102449
07876,139993
07878,116039
07880,147514
07881,-
07882,100919
07885,87101
07901,219898
07920,199653
07921,128903
07922,183065
07924,198313
07926,N
07927,136320
07928,247167
07930,188056
07931,286017
07932,172053
07933,170353
07934,264925
07935,121797
07936,143640
07939,-
07940,179630
07945,234316
07946,167702
07950,134548
07960,155450
07961,-
07970,423498
07974,200304
07976,160375
07977,76618
07979,142547
07980,172294
07981,135013
08001,70611
08002,99618
08003,151615
08004,91007
08005,79294
08006,82850
08007,91638
08008,117098
08009,98542
08010,67569
08011,89444
08012,80636
08014,93828
08015,71176
08016,88846
08019,94028
08020,104206
08021,63447
08022,125145
08023,62515
08026,104532
08027,78937
08028,77498
08029,68227
08030,66997
08031,61671
08033,160860
08034,109874
08035,124982
08036,122545
08037,86912
08038,63654
08039,N
08041,107306
08042,98260
08043,120759
08045,67333
08046,72141
08048,115241
08049,65142
08050,94659
08051,87395
08052,71349
08053,113937
08054,115795
08055,137830
08056,158141
08057,194610
08059,73649
08060,93753
08061,142235
08062,146803
08063,73465
08064,-
08065,71891
08066,62571
08067,95913
08068,71925
08069,63741
08070,75790
08071,83074
08072,82238
08073,150535
08074,-
08075,91385
08077,119087
08078,70001
